Date,AAPL,MSFT,NVDA,TSLA,AMZN,META,GOOGL
2018-01-02,40.341888427734375,79.05036163330078,4.92853307723999,21.368667602539062,59.45050048828125,180.1614990234375,53.258094787597656
2018-01-03,40.33486557006836,79.41825103759766,5.252901077270508,21.149999618530273,60.209999084472656,183.38897705078125,54.16673278808594
2018-01-04,40.522216796875,80.11726379394531,5.280588626861572,20.974666595458984,60.47949981689453,183.05133056640625,54.377140045166016
2018-01-05,40.98357391357422,81.1105728149414,5.325336933135986,21.10533332824707,61.457000732421875,185.55386352539062,55.09819412231445
2018-01-08,40.83134460449219,81.19332885742188,5.488511085510254,22.42733383178711,62.34349822998047,186.9739227294922,55.292724609375
2018-01-09,40.8266716003418,81.13814544677734,5.487026691436768,22.246000289916992,62.6349983215332,186.56675720214844,55.22225570678711
2018-01-10,40.817298889160156,80.77027893066406,5.530044078826904,22.31999969482422,62.71649932861328,186.5369873046875,55.09074783325195
2018-01-11,41.04914474487305,81.00938415527344,5.539932727813721,22.530000686645508,63.83399963378906,186.4674835205078,55.18553924560547
2018-01-12,41.473026275634766,82.4073715209961,5.51273775100708,22.4146671295166,65.26000213623047,178.125732421875,56.10856246948242
2018-01-16,41.26226043701172,81.25770568847656,5.441783905029297,22.67066764831543,65.24299621582031,177.1525421142578,56.11103820800781
2018-01-17,41.94375991821289,82.9040298461914,5.55575704574585,23.143999099731445,64.75,176.36802673339844,56.527889251708984
2018-01-18,41.981224060058594,82.86724090576172,5.548834323883057,22.971332550048828,64.66600036621094,178.55274963378906,56.37256622314453
2018-01-19,41.79387664794922,82.7752685546875,5.6890130043029785,23.334667205810547,64.72899627685547,180.0324249267578,56.746238708496094
2018-01-22,41.45195007324219,84.25602722167969,5.77752161026001,23.437332153320312,66.3655014038086,184.0841064453125,57.77149200439453
2018-01-23,41.461334228515625,84.52272033691406,5.9065752029418945,23.519332885742188,68.12699890136719,188.03651428222656,58.367488861083984
2018-01-24,40.800907135009766,84.44917297363281,5.829686641693115,23.05933380126953,67.87550354003906,185.2559051513672,58.12531661987305
2018-01-25,40.07257080078125,84.91822052001953,5.843285083770752,22.50933265686035,68.89749908447266,186.17947387695312,58.66374969482422
2018-01-26,40.166236877441406,86.50934600830078,6.015850067138672,22.856666564941406,70.10250091552734,188.68197631835938,58.93272399902344
2018-01-29,39.33485794067383,86.38057708740234,6.102877616882324,23.302000045776367,70.88400268554688,184.6898956298828,58.879127502441406
2018-01-30,39.10301208496094,85.29531860351562,6.000770092010498,23.05466651916504,71.89099884033203,185.8219451904297,58.42704391479492
2018-01-31,39.210731506347656,87.38308715820312,6.076916694641113,23.62066650390625,72.54450225830078,185.59356689453125,58.667724609375
2018-02-01,39.2927131652832,86.69330596923828,5.9458842277526855,23.28333282470703,69.5,191.75054931640625,58.636451721191406
2018-02-02,37.587791442871094,84.4123764038086,5.773317813873291,22.916667938232422,71.49749755859375,188.96005249023438,55.540348052978516
2018-02-05,36.648677825927734,80.93582916259766,5.283308029174805,22.208667755126953,69.5,180.00262451171875,52.721153259277344
2018-02-06,38.180294036865234,83.99852752685547,5.577016353607178,22.264667510986328,72.14199829101562,184.0244903564453,53.81489181518555
2018-02-07,37.362972259521484,82.41657257080078,5.656625270843506,23.0,70.83899688720703,178.93011474609375,52.37477111816406
2018-02-08,36.334861755371094,78.18584442138672,5.377750873565674,21.01533317565918,67.5250015258789,170.38978576660156,50.007659912109375
2018-02-09,36.77928924560547,81.10134887695312,5.737718105316162,20.69466781616211,66.9800033569336,174.8883514404297,51.921199798583984
2018-02-12,38.260719299316406,81.97512817382812,5.637588977813721,21.048667907714844,69.3115005493164,175.186279296875,52.33259201049805
2018-02-13,38.64399719238281,82.61891174316406,5.751316070556641,21.577333450317383,70.72550201416016,171.94888305664062,52.311744689941406
2018-02-14,39.35649871826172,83.91256713867188,5.968629837036133,21.487333297729492,72.55249786376953,178.27468872070312,53.2327880859375
2018-02-15,40.67802047729492,85.62207794189453,6.094224452972412,22.271333694458008,73.08799743652344,178.711669921875,54.15879440307617
2018-02-16,40.546348571777344,85.01219177246094,6.028460502624512,22.365999221801758,72.43450164794922,176.12966918945312,54.364234924316406
2018-02-20,40.40996551513672,85.6775131225586,6.158008098602295,22.31800079345703,73.4175033569336,174.78903198242188,54.76570510864258
2018-02-21,40.226539611816406,84.5409164428711,5.970855712890625,22.219999313354492,74.14600372314453,176.67588806152344,55.2698974609375
2018-02-22,40.56279754638672,84.7626953125,5.990398406982422,23.077999114990234,74.26699829101562,177.7483673095703,55.07884216308594
2018-02-23,41.26824188232422,86.91572570800781,6.0839104652404785,23.469999313354492,75.0,182.0185546875,55.98152160644531
2018-02-26,42.084205627441406,88.17242431640625,6.099991321563721,23.827999114990234,76.09750366210938,183.64715576171875,56.75616455078125
2018-02-27,41.94781494140625,87.0450668334961,6.087126731872559,23.39933204650879,75.5989990234375,180.20126342773438,55.456485748291016
2018-02-28,41.88432693481445,86.64775085449219,5.986689567565918,22.87066650390625,75.62249755859375,177.0830535888672,54.782081604003906
2018-03-01,41.150672912597656,85.7976303100586,5.744498252868652,22.062000274658203,74.67250061035156,174.7195587158203,53.16877365112305
2018-03-02,41.4351921081543,85.98242950439453,5.851616382598877,22.341333389282227,75.01249694824219,175.3948211669922,53.80049514770508
2018-03-05,41.57862854003906,86.52762603759766,5.829598426818848,22.22333335876465,76.18049621582031,179.1485595703125,54.327518463134766
2018-03-06,41.54335021972656,86.23191833496094,5.9906463623046875,21.8799991607666,76.88200378417969,178.53286743164062,54.63220977783203
