Date,open,high,low,close,volume,dividends,stock_splits
2018-01-02,4.8402718238970985,4.932241850273964,4.808626771034557,4.92853307723999,355616000,0.0,0.0
2018-01-03,5.045969383653385,5.28331066974954,5.037316362595355,5.252901077270508,914704000,0.0,0.0
2018-01-04,5.334237807459487,5.390853534850007,5.258337875477712,5.280588626861572,583268000,0.0,0.0
2018-01-05,5.295422017377992,5.362668450590756,5.218533247472981,5.325336933135986,580124000,0.0,0.0
2018-01-08,5.448954287941701,5.562679963062735,5.403958112408372,5.488511085510254,881216000,0.0,0.0
2018-01-09,5.493949106317687,5.53350589750984,5.405440750658684,5.487026691436768,497000000,0.0,0.0
2018-01-10,5.394561871769428,5.533505285884792,5.340171407780598,5.530044078826904,582664000,0.0,0.0
2018-01-11,5.562677664819072,5.594076089799403,5.5184232623627505,5.539932727813721,406032000,0.0,0.0
2018-01-12,5.528066087608366,5.562431062017867,5.4721921174013355,5.51273775100708,359916000,0.0,0.0
2018-01-16,5.539192853741618,5.624734198192705,5.3572314097114315,5.441783905029297,702348000,0.0,0.0
2018-01-17,5.456370400412405,5.565646008468552,5.362423132552919,5.55575704574585,538408000,0.0,0.0
2018-01-18,5.536472531719758,5.6032247947391065,5.505321664265724,5.548834323883057,408632000,0.0,0.0
2018-01-19,5.639072596102207,5.713241453808726,5.612124694118849,5.6890130043029785,609380000,0.0,0.0
2018-01-22,5.696924523479651,5.77925221387393,5.639319943950275,5.77752161026001,550944000,0.0,0.0
2018-01-23,5.830922372193946,5.929320140942783,5.812380395432057,5.9065752029418945,475228000,0.0,0.0
2018-01-24,5.9097890593697695,5.945637542592809,5.774059766270133,5.829686641693115,579972000,0.0,0.0
2018-01-25,5.8840778163280145,5.927343378708648,5.828451405709394,5.843285083770752,409884000,0.0,0.0
2018-01-26,5.8870432077038926,6.016097161431063,5.874187231189654,6.015850067138672,516356000,0.0,0.0
2018-01-29,6.001266173853401,6.1340289591658275,5.948606301208034,6.102877616882324,455116000,0.0,0.0
2018-01-30,5.960966211063051,6.0922454557512,5.894213956837735,6.000770092010498,570832000,0.0,0.0
2018-01-31,6.076174940105346,6.162705581597857,6.0435405698559705,6.076916694641113,478576000,0.0,0.0
2018-02-01,5.896932675059915,6.104111826017726,5.885560206427219,5.9458842277526855,519224000,0.0,0.0
2018-02-02,5.859354264970945,5.883335617741371,5.71521905402616,5.773317813873291,718464000,0.0,0.0
2018-02-05,5.61212407970193,5.7661482491085225,5.068217610887506,5.283308029174805,1165204000,0.0,0.0
