Date,GSPC,IXIC,VIX,MSFT,GOOGL
2018-01-02,2695.81005859375,7006.89990234375,9.770000457763672,79.05036163330078,53.258094787597656
2018-01-03,2713.06005859375,7065.52978515625,9.149999618530273,79.41828918457031,54.16672897338867
2018-01-04,2723.989990234375,7077.91015625,9.220000267028809,80.11724853515625,54.377140045166016
2018-01-05,2743.14990234375,7136.56005859375,9.220000267028809,81.11058044433594,55.09818649291992
2018-01-08,2747.7099609375,7157.39013671875,9.520000457763672,81.19334411621094,55.292728424072266
2018-01-09,2751.2900390625,7163.580078125,10.079999923706055,81.13815307617188,55.222251892089844
2018-01-10,2748.22998046875,7153.56982421875,9.819999694824219,80.77027893066406,55.09075164794922
2018-01-11,2767.56005859375,7211.77978515625,9.880000114440918,81.0093994140625,55.18553161621094
2018-01-12,2786.239990234375,7261.06005859375,10.15999984741211,82.40736389160156,56.10856246948242
2018-01-16,2776.419921875,7223.68994140625,11.65999984741211,81.25772094726562,56.11104202270508
2018-01-17,2802.56005859375,7298.27978515625,11.90999984741211,82.90400695800781,56.52789306640625
2018-01-18,2798.030029296875,7296.0498046875,12.220000267028809,82.86723327636719,56.3725700378418
2018-01-19,2810.300048828125,7336.3798828125,11.270000457763672,82.77528381347656,56.746238708496094
2018-01-22,2832.969970703125,7408.02978515625,11.029999732971191,84.25604248046875,57.77149200439453
2018-01-23,2839.1298828125,7460.2900390625,11.100000381469727,84.52275085449219,58.367488861083984
2018-01-24,2837.5400390625,7415.06005859375,11.470000267028809,84.44916534423828,58.12531661987305
2018-01-25,2839.25,7411.16015625,11.579999923706055,84.91824340820312,58.66374969482422
2018-01-26,2872.8701171875,7505.77001953125,11.079999923706055,86.50934600830078,58.93272018432617
2018-01-29,2853.530029296875,7466.509765625,13.84000015258789,86.38057708740234,58.879119873046875
2018-01-30,2822.429931640625,7402.47998046875,14.789999961853027,85.2953109741211,58.42704391479492
2018-01-31,2823.81005859375,7411.47998046875,13.539999961853027,87.38311004638672,58.667720794677734
2018-02-01,2821.97998046875,7385.85986328125,13.470000267028809,86.69329833984375,58.636451721191406
2018-02-02,2762.1298828125,7240.9501953125,17.309999465942383,84.4123764038086,55.54035568237305
2018-02-05,2648.93994140625,6967.52978515625,37.31999969482422,80.93582916259766,52.721153259277344
2018-02-06,2695.139892578125,7115.8798828125,29.979999542236328,83.99849700927734,53.81489181518555
2018-02-07,2681.659912109375,7051.97998046875,27.729999542236328,82.41658782958984,52.37477493286133
2018-02-08,2581.0,6777.16015625,33.459999084472656,78.18584442138672,50.007659912109375
2018-02-09,2619.550048828125,6874.490234375,29.059999465942383,81.10135650634766,51.921199798583984
2018-02-12,2656.0,6981.9599609375,25.610000610351562,81.97509765625,52.33259201049805
2018-02-13,2662.93994140625,7013.509765625,24.969999313354492,82.61891174316406,52.31175231933594
2018-02-14,2698.6298828125,7143.6201171875,19.260000228881836,83.91258239746094,53.232791900634766
2018-02-15,2731.199951171875,7256.43017578125,19.1299991607666,85.62206268310547,54.15879821777344
2018-02-16,2732.219970703125,7239.47021484375,19.459999084472656,85.01219940185547,54.36424255371094
2018-02-20,2716.260009765625,7234.31005859375,20.600000381469727,85.67749786376953,54.76570510864258
2018-02-21,2701.330078125,7218.22998046875,20.020000457763672,84.5409164428711,55.269893646240234
2018-02-22,2703.9599609375,7210.08984375,18.719999313354492,84.76270294189453,55.07883834838867
2018-02-23,2747.300048828125,7337.39013671875,16.489999771118164,86.91571807861328,55.98151779174805
2018-02-26,2779.60009765625,7421.4599609375,15.800000190734863,88.17243957519531,56.756168365478516
2018-02-27,2744.280029296875,7330.35009765625,18.59000015258789,87.04510498046875,55.456485748291016
2018-02-28,2713.830078125,7273.009765625,19.850000381469727,86.64775848388672,54.782081604003906
2018-03-01,2677.669921875,7180.56005859375,22.469999313354492,85.7976303100586,53.16877365112305
2018-03-02,2691.25,7257.8701171875,19.59000015258789,85.98242950439453,53.80049514770508
2018-03-05,2720.93994140625,7330.7099609375,18.729999542236328,86.52764129638672,54.327518463134766
2018-03-06,2728.1201171875,7372.009765625,18.360000610351562,86.23191833496094,54.6322135925293
2018-03-07,2726.800048828125,7396.64990234375,17.760000228881836,86.73091888427734,55.33391189575195
2018-03-08,2738.969970703125,7427.9501953125,16.540000915527344,87.25762939453125,56.04553985595703
2018-03-09,2786.570068359375,7560.81005859375,14.640000343322754,89.20734405517578,57.60674285888672
2018-03-12,2783.02001953125,7588.31982421875,15.779999732971191,89.41986846923828,57.85932922363281
2018-03-13,2765.31005859375,7511.009765625,16.350000381469727,87.23912811279297,56.56808090209961
2018-03-14,2749.47998046875,7496.81005859375,17.229999542236328,86.7216567993164,57.01372528076172
2018-03-15,2747.330078125,7481.740234375,16.59000015258789,87.02661895751953,57.09907150268555
2018-03-16,2752.010009765625,7481.990234375,15.800000190734863,87.41471099853516,56.295650482177734
2018-03-19,2712.919921875,7344.240234375,19.020000457763672,85.8345947265625,54.591026306152344
2018-03-20,2716.93994140625,7364.2998046875,18.200000762939453,86.05636596679688,54.379119873046875
2018-03-21,2711.929931640625,7345.2900390625,17.860000610351562,85.45574188232422,54.289798736572266
2018-03-22,2643.68994140625,7166.68017578125,23.34000015258789,82.97004699707031,52.26261520385742
2018-03-23,2588.260009765625,6992.669921875,24.8700008392334,80.55828857421875,50.942588806152344
2018-03-26,2658.550048828125,7220.5400390625,21.030000686645508,86.6570053100586,52.30926513671875
2018-03-27,2612.6201171875,7008.81005859375,22.5,82.67438507080078,49.969444274902344
