,AAPL,MSFT,NVDA,TSLA,AMZN,META,GOOGL
2019-07-30,135742800,16846500,197772000,121635000,58218000,11903600,28616000
2019-07-31,277125600,38598800,359416000,137673000,89414000,14593500,39960000
2019-08-01,216071600,40557500,421212000,123892500,94266000,17777000,35426000
2019-08-02,163448400,30791600,428348000,92047500,99124000,15297000,34910000
2019-08-05,209572000,42749600,589156000,105424500,121164000,23086700,47840000
2019-08-06,143299200,32696700,361272000,83463000,101406000,18035700,36014000
2019-08-07,133457600,33414500,372560000,71647500,90538000,15833200,30686000
2019-08-08,108038000,27496500,309300000,79114500,74024000,14828900,30116000
2019-08-09,98478800,23466700,341816000,58473000,57596000,11058800,20418000
2019-08-12,89927600,20484300,279200000,69958500,58110000,10930900,22064000
2019-08-13,188874000,25154600,351956000,72721500,79880000,13577000,28434000
2019-08-14,146189600,32527300,419880000,143439000,97872000,18903700,35430000
2019-08-15,108909600,28074400,477200000,122394000,75182000,12925900,28506000
2019-08-16,110481600,24449100,1007960000,76477500,60360000,12654600,24916000
2019-08-19,97654400,24355700,815112000,79644000,56326000,9691200,24450000
2019-08-20,107537200,21170800,463188000,61878000,38590000,10083400,20206000
2019-08-21,86141600,14970300,427244000,116914500,40636000,8398200,14152000
2019-08-22,89014800,18697000,303488000,98385000,53070000,10821400,17352000
2019-08-23,187272000,38508600,568056000,128079000,105416000,17323400,36254000
2019-08-26,104174400,20312600,318208000,75778500,61600000,8773600,21166000
2019-08-27,103493200,23102100,290968000,81243000,60394000,14399600,23460000
2019-08-28,63755200,17393300,255612000,48382500,48394000,9386100,16810000
2019-08-29,83962000,20168700,357976000,77692500,60302000,10128700,19636000
2019-08-30,84573600,23940100,290616000,139809000,61174000,10774500,18064000
2019-09-03,80092000,18869300,296140000,80311500,70860000,9779400,25908000
2019-09-04,76752400,17995900,227728000,86415000,46482000,11308000,21312000
2019-09-05,95654800,26101800,695676000,110929500,66216000,13876700,26394000
2019-09-06,77449200,20824500,376976000,62841000,49938000,15226800,18972000
2019-09-09,109237600,25773900,417524000,72040500,59990000,14722400,31854000
2019-09-10,127111600,28903400,352812000,73255500,52278000,15455900,27922000
2019-09-11,177158400,24726100,361512000,150642000,48656000,11761700,23522000
2019-09-12,128906800,27010000,327840000,128718000,56470000,11419800,31644000
2019-09-13,159053200,23363100,324592000,79696500,39426000,11441100,23676000
2019-09-16,84632400,16731400,231832000,70921500,73510000,8444800,28218000
2019-09-17,73274800,17814200,223048000,57981000,39648000,9671100,20806000
2019-09-18,101360000,23982100,258152000,62553000,50112000,9681900,17440000
2019-09-19,88242400,35772100,245476000,71937000,40630000,10392700,16554000
2019-09-20,221652400,39167300,350244000,95295000,106838000,19934200,37692000
2019-09-23,76662000,17139300,249712000,65103000,58446000,13327600,20798000
2019-09-24,124763200,29773200,317268000,193372500,92320000,18546600,35804000
2019-09-25,87613600,21382000,308432000,141406500,69864000,18068300,26798000
2019-09-26,75334000,17456600,234564000,178267500,70736000,16083300,23166000
2019-09-27,101408000,22477700,362056000,166746000,78144000,14656200,34122000
2019-09-30,103909600,17280900,186184000,88197000,52894000,10740000,24470000
2019-10-01,139223200,21466600,366008000,92439000,61690000,17073000,24504000
2019-10-02,138449200,30521700,293372000,84471000,66022000,16151700,33030000
2019-10-03,114426000,24132900,450588000,226267500,69364000,16086300,28368000
2019-10-04,138478800,22897700,265524000,119925000,49438000,10430200,24282000
2019-10-07,122306000,15303700,480984000,120963000,43094000,9178300,17040000
2019-10-08,111820000,25550500,444436000,130173000,50840000,9466900,20086000
2019-10-09,74770400,19749900,292412000,103416000,40870000,7556900,15948000
2019-10-10,113013600,17654600,309124000,94249500,51504000,8605000,12842000
2019-10-11,166795600,25446000,446404000,127131000,65100000,14930500,22330000
2019-10-14,96427600,13304300,200040000,153075000,38204000,7006000,13296000
2019-10-15,87360000,19695700,664124000,96492000,62234000,15039100,27584000
2019-10-16,73903200,20751600,428944000,100261500,55268000,10516900,22986000
2019-10-17,67585200,21460600,263436000,71539500,52948000,9603000,20958000
2019-10-18,97433600,32273500,307440000,86247000,67250000,16874200,31624000
2019-10-21,87247200,20078200,261868000,75304500,42608000,8122600,18094000
2019-10-22,82293600,27431000,328720000,69012000,42234000,19537600,22862000
2019-10-23,75828800,29844600,279916000,78916500,42764000,12300400,21282000
2019-10-24,69275200,37029300,232020000,445813500,88922000,11413500,20224000
2019-10-25,73477200,25959700,423092000,450091500,192528000,8061200,27104000
2019-10-28,96572800,35280100,330792000,283054500,74178000,13657900,65428000
2019-10-29,142839600,20589500,211236000,190264500,45538000,13574900,52654000
2019-10-30,124522000,18496600,205960000,144627000,48988000,28734600,29204000
2019-10-31,139162000,24605100,209732000,76005000,55624000,42286500,31904000
2019-11-01,151125200,33128400,283640000,95758500,55808000,21711800,28812000
2019-11-04,103272000,16912000,376716000,131805000,55438000,16371300,30632000
2019-11-05,79897600,18250200,300868000,104151000,37710000,9942000,25148000
2019-11-06,75864400,16575800,269012000,119113500,40596000,10973000,24626000
2019-11-07,94940400,17786700,280340000,217009500,53022000,13473000,45140000
2019-11-08,69986400,16732700,189100000,91038000,42466000,10760800,30392000
2019-11-11,81821200,14362600,243436000,149800500,38920000,8631200,17234000
2019-11-12,87388800,18641600,283504000,110391000,40752000,17615500,28852000
2019-11-13,102734400,16919200,300188000,126301500,59790000,10860700,20538000
2019-11-14,89182800,19729800,518080000,96973500,45296000,9040500,28948000
2019-11-15,100206400,23485700,1053628000,72135000,78552000,11524300,39286000
2019-11-18,86703200,21534000,574588000,66006000,56790000,16167200,27984000
2019-11-19,76167200,23935700,414564000,115872000,45416000,19056800,21864000
2019-11-20,106234400,25696800,472588000,100876500,55800000,12355400,28892000
2019-11-21,121395200,18576100,288388000,91650000,53258000,12131000,25546000
2019-11-22,65325200,15901800,224100000,253059000,49582000,9959800,27776000
2019-11-25,84020400,22420900,506476000,185092500,69724000,15272300,23590000
2019-11-26,105207600,24620100,385244000,119211000,63624000,11735500,21910000
2019-11-27,65235600,15184400,215784000,83334000,60512000,12736600,18808000
2019-11-29,46617600,11977300,141556000,36984000,38468000,7985200,12802000
2019-12-02,94487200,27418400,372036000,91117500,78512000,11503400,26538000
2019-12-03,114430400,24066000,465232000,98605500,67618000,11595300,25270000
2019-12-04,67181600,17574700,273424000,82995000,53402000,8456300,35506000
2019-12-05,74424400,17869100,184884000,55869000,56476000,9740400,24408000
2019-12-06,106075600,16403500,232236000,114186000,62348000,12270600,32968000
2019-12-09,128042400,16687400,211880000,135346500,48856000,11954800,30842000
2019-12-10,90420400,16476100,256388000,132424500,50286000,9475700,17606000
2019-12-11,78756800,18856600,233796000,103467000,41952000,8036800,20480000
2019-12-12,137310400,24612100,404348000,116458500,61918000,23734800,29114000
2019-12-13,133587600,23845400,454704000,98563500,54914000,18798000,33170000
2019-12-16,128186000,24144200,320976000,272613000,62904000,14911500,28128000
2019-12-17,114158400,25425600,321196000,127452000,72888000,10175700,32948000
2019-12-18,116028400,24129200,343548000,211815000,67028000,23274400,23330000
2019-12-19,98369200,24958900,445360000,271606500,53056000,16514600,28922000
2019-12-20,275978000,53477500,603044000,221290500,103016000,27306900,50090000
2019-12-23,98572000,17718200,355060000,199794000,42728000,13348900,19936000
2019-12-24,48478800,8989200,138864000,120820500,17626000,6046300,13468000
2019-12-26,93121200,14520600,182852000,159508500,120108000,9350700,23662000
2019-12-27,146266000,18412800,254644000,149185500,123732000,10284200,23212000
2019-12-30,144114400,16348400,258056000,188796000,73494000,10524300,19994000
2019-12-31,100805600,18369400,231004000,154285500,50130000,8953500,19514000
2020-01-02,135480400,22622100,237536000,142981500,80580000,12077100,27278000
2020-01-03,146322800,21116200,205384000,266677500,75288000,11188400,23408000
2020-01-06,118387200,20813700,262636000,151995000,81236000,17058900,46768000
2020-01-07,108872000,21634100,314856000,268231500,80898000,14912400,34330000
2020-01-08,132079200,27746500,277108000,467164500,70160000,13475000,35314000
2020-01-09,170108400,21385000,255112000,426606000,63346000,12642800,33200000
2020-01-10,140644800,20725900,316296000,194392500,57074000,12119400,26258000
2020-01-13,121532000,21626500,319840000,397764000,55616000,14463400,30730000
2020-01-14,161954400,23477400,359088000,434943000,68818000,13288900,26076000
2020-01-15,121923600,21417900,263104000,260532000,57932000,10036500,21550000
2020-01-16,108829200,23865400,284192000,326050500,53190000,10015300,26080000
2020-01-17,137816400,34371700,253792000,204436500,79946000,15905900,52424000
2020-01-21,110843200,29517200,217916000,267052500,74156000,14275800,48930000
2020-01-22,101832400,24138800,239240000,470535000,64326000,12212800,28458000
2020-01-23,104472000,19680800,244516000,294765000,49692000,11195000,26650000
2020-01-24,146537600,24918100,373512000,215304000,75324000,11905800,29786000
2020-01-27,161940000,32078100,470536000,204121500,70570000,13810700,34132000
2020-01-28,162234000,24899900,310976000,176827500,56160000,13413800,29724000
2020-01-29,216229200,34754500,258848000,267022500,41760000,33181300,21566000
2020-01-30,126743200,51597500,290504000,435085500,126548000,48775500,27110000
2020-01-31,199588400,36142700,370420000,235789500,311346000,31359900,43822000
2020-02-03,173788400,30107000,255564000,705975000,117834000,15495600,71636000
2020-02-04,136616400,36433300,271544000,914082000,105786000,19628900,95880000
2020-02-05,118826800,39186300,208220000,726357000,87524000,12538200,36376000
2020-02-06,105425600,27751400,218284000,598212000,63660000,10567500,37822000
2020-02-07,117684000,33529100,189752000,255952500,101906000,12242500,28360000
2020-02-10,109348800,35844300,529608000,370338000,101124000,11856400,38302000
2020-02-11,94323200,53159900,638556000,175462500,114920000,25030800,34852000
2020-02-12,113730400,47062900,374644000,180337500,66686000,13813700,31042000
2020-02-13,94747600,35295800,528016000,394339500,60636000,15396600,22914000
2020-02-14,80113600,23149500,1041924000,235405500,52124000,10741700,23198000
2020-02-18,152531200,27792200,620164000,245725500,58912000,15609200,25642000
2020-02-19,93984000,29997500,694332000,381345000,51224000,12135100,22746000
2020-02-20,100566000,36862400,810052000,264523500,62626000,13109200,25962000
2020-02-21,129554000,48572600,768180000,214722000,92926000,14092300,42520000
2020-02-24,222195200,68311100,856916000,227883000,130940000,23080100,49560000
2020-02-25,230673600,68073300,1055496000,259357500,124382000,21433500,51580000
2020-02-26,198054800,56206100,747732000,211282500,104492000,16524500,49776000
2020-02-27,320605600,93174900,906416000,364158000,162880000,21682600,62290000
2020-02-28,426510000,97012700,1133252000,363343500,189620000,32568900,80198000
2020-03-02,341397200,71030800,890744000,302925000,135234000,24949000,55430000
2020-03-03,319475600,71677000,652792000,386760000,150690000,27984100,56602000
2020-03-04,219178400,49814400,597408000,225735000,95458000,23062500,47598000
2020-03-05,187572800,47817300,540328000,162790500,94964000,19333400,54380000
2020-03-06,226176800,72821100,515412000,189943500,105472000,24559600,64640000
2020-03-09,286744800,70419300,614160000,256105500,156264000,29949000,69252000
2020-03-10,285290000,65354400,580648000,233916000,142666000,24517800,54872000
2020-03-11,255598800,56371600,499964000,199837500,112496000,20373900,54732000
2020-03-12,418474000,93226400,816540000,283636500,226924000,43266300,94326000
2020-03-13,370732000,92727400,634836000,339604500,176194000,35028600,79400000
2020-03-16,322423600,87905900,726972000,307342500,178346000,39120400,96520000
2020-03-17,324056000,81059800,833632000,359919000,218342000,34255600,83194000
2020-03-18,300233600,81593200,874268000,356793000,192904000,37553100,93044000
2020-03-19,271857200,85922700,765512000,452932500,207998000,39862300,74064000
2020-03-20,401693200,84866200,804636000,424282500,196358000,32568400,82878000
2020-03-23,336752800,78975200,643876000,246817500,156170000,29830800,83672000
2020-03-24,287531200,82516700,1101644000,343428000,142942000,30440400,72468000
2020-03-25,303602000,75638200,793432000,318340500,129582000,35184300,90324000
2020-03-26,252087200,64568100,696108000,260710500,124426000,26556800,76562000
2020-03-27,204216800,57042300,638828000,215661000,107758000,24879900,62794000
2020-03-30,167976400,63420300,602252000,179971500,122522000,22515200,58736000
2020-03-31,197002000,77927200,949960000,266572500,102472000,23676300,65228000
2020-04-01,176218400,57969900,656912000,200298000,82438000,19507600,51970000
2020-04-02,165934000,49630700,675764000,297876000,86720000,20886300,56410000
2020-04-03,129880000,41243300,663212000,338431500,72198000,25983300,51374000
2020-04-06,201820400,67111700,727884000,223527000,115464000,28453600,63320000
2020-04-07,202887200,62769000,784520000,268797000,102280000,31411900,61620000
2020-04-08,168895200,48318200,542444000,189840000,79546000,21664200,40334000
2020-04-09,161834800,51385100,525564000,204750000,92930000,23534300,54028000
2020-04-13,131022800,41905300,398408000,337131000,134334000,19355400,38702000
2020-04-14,194994800,52874300,530948000,458647500,161744000,21011800,63358000
2020-04-15,131154400,40940800,366148000,353655000,137332000,17423000,42236000
2020-04-16,157125200,50479600,745620000,309868500,240764000,23593200,57896000
2020-04-17,215250000,52765600,539120000,196923000,158600000,20974800,51050000
2020-04-20,130015200,36669600,449388000,221199000,115414000,16110700,35292000
2020-04-21,180991600,56203700,735160000,303136500,149534000,24850500,49648000
2020-04-22,116862400,34620200,483356000,212482500,84244000,33242000,46296000
2020-04-23,124814400,32790800,424160000,198550500,101332000,21426600,34202000
2020-04-24,126161200,34277600,352328000,198180000,76498000,28792000,37402000
2020-04-27,117087600,33194400,479388000,310221000,112912000,29197800,44186000
2020-04-28,112004800,34392700,442904000,228330000,105388000,21731000,80700000
2020-04-29,137280800,51286600,379160000,243240000,91832000,45954500,108358000
2020-04-30,183064000,53875900,375916000,427078500,190692000,46230100,55842000
2020-05-01,240616800,39370500,342096000,487977000,195452000,30415600,48872000
2020-05-04,133568000,30372900,317556000,288556500,97318000,19250700,30806000
2020-05-05,147751200,36839200,368896000,254875500,64850000,21071200,39666000
2020-05-06,142333600,32139300,323464000,166848000,62356000,21857000,31732000
2020-05-07,115215200,28316000,373732000,172915500,67928000,15152000,30652000
2020-05-08,133838400,30877800,339216000,241297500,64132000,12506000,33326000
2020-05-11,145946400,30892700,469060000,247794000,65184000,12911900,32718000
2020-05-12,162301200,32038200,493060000,238603500,61498000,14704600,33918000
2020-05-13,200622400,44711500,625852000,285982500,95658000,20684600,40368000
2020-05-14,158929200,41873900,602312000,205233000,72962000,17178900,36660000
2020-05-15,166348400,46610400,987660000,157776000,84700000,19383200,41544000
2020-05-18,135178400,35264500,774460000,174987000,87144000,20151900,47094000
2020-05-19,101729600,26799100,717320000,144547500,86410000,31843200,31586000
2020-05-20,111504800,31261300,587536000,109639500,79962000,50162900,38262000
2020-05-21,102688800,29119500,761068000,183819000,102288000,47782600,30894000
2020-05-22,81803200,20826900,1038764000,149812500,57342000,33925600,28544000
2020-05-26,125522000,36073600,770780000,121345500,71364000,33178300,44590000
2020-05-27,112945200,39517100,1175892000,173242500,101138000,34697600,31684000
2020-05-28,133560800,33810200,734896000,108834000,63804000,29377200,35170000
2020-05-29,153532400,42130400,745256000,176467500,70198000,23241500,37044000
2020-06-01,80791200,22622400,389876000,224092500,58578000,18223800,25162000
2020-06-02,87642800,30794600,391320000,203484000,50598000,20919000,23442000
2020-06-03,104491200,27311000,365440000,119242500,53420000,15380300,27732000
2020-06-04,87560400,28761800,424280000,133315500,58974000,17041500,26982000
2020-06-05,137250400,39893600,481748000,117178500,66128000,16750400,42642000
2020-06-08,95654400,33211600,387736000,212620500,79414000,15466500,33878000
2020-06-09,147712400,29783900,468488000,170823000,103520000,27462900,33624000
2020-06-10,166651600,43872300,632180000,278451000,98920000,20720700,31762000
2020-06-11,201662400,52854700,583652000,238747500,116002000,26708200,47144000
2020-06-12,200146000,43373600,570908000,251451000,108722000,22091400,36676000
2020-06-15,138808800,32770200,400004000,235458000,77302000,15340300,30468000
2020-06-16,165428800,42556700,535716000,210766500,71712000,15236700,30648000
2020-06-17,114406400,25687800,408304000,148362000,59186000,19578100,30610000
2020-06-18,96820400,23061600,254408000,146278500,49756000,15782500,34862000
2020-06-19,264476000,44441100,524160000,130195500,115540000,30081300,52784000
2020-06-22,135445200,32818900,398468000,95436000,64176000,18917800,29442000
2020-06-23,212155600,30917400,375108000,95479500,84634000,24017900,37752000
2020-06-24,192623200,36740600,449372000,164394000,90532000,20834900,31592000
2020-06-25,137522400,27803900,376072000,138817500,59374000,18704300,23958000
2020-06-26,205256800,54675800,592084000,132823500,130016000,76343900,97640000
2020-06-29,130646000,26701600,342248000,135396000,84468000,58514300,45074000
2020-06-30,140223200,34310300,367892000,253777500,75394000,33927100,40286000
2020-07-01,110737200,32061200,326648000,199903500,127268000,43399700,42182000
2020-07-02,114041600,29315800,364056000,258751500,131868000,30633600,57218000
2020-07-06,118655600,31897600,315892000,308548500,137612000,26206200,44712000
2020-07-07,112424400,33600700,357800000,322345500,105150000,27887800,42364000
2020-07-08,117092000,33600000,365480000,244669500,100752000,29791300,31766000
2020-07-09,125642800,33121700,494548000,175764000,127774000,22174900,41836000
2020-07-10,90257200,26177600,497676000,350064000,109720000,22982700,35918000
2020-07-13,191649200,38135600,457076000,584781000,154408000,24674900,42954000
2020-07-14,170989200,37591800,542676000,351271500,144638000,23378100,38108000
2020-07-15,153198000,32179400,403984000,245517000,115778000,19133600,31026000
2020-07-16,110577600,29940700,344964000,214512000,127884000,18880700,26484000
2020-07-17,92186800,31635300,266284000,139950000,95226000,18152400,34264000
2020-07-20,90318000,36884800,284852000,256821000,151964000,20872200,30166000
2020-07-21,103433200,37990400,277036000,241608000,122426000,19364200,27486000
2020-07-22,89001600,49605700,367292000,212416500,82084000,15427900,24482000
2020-07-23,197004400,67457000,411660000,364927500,113138000,21771800,33910000
2020-07-24,185438800,39827000,473292000,290949000,112648000,18325800,29902000
2020-07-27,121214000,30160900,292132000,240730500,83410000,13163100,27124000
2020-07-28,103625600,23251400,271636000,237130500,62534000,14170100,30910000
2020-07-29,90329200,19632600,284508000,141403500,59482000,13588300,22676000
2020-07-30,158130000,25079600,308880000,114315000,122566000,20615300,36042000
2020-07-31,374336800,51044000,386080000,183123000,161710000,53005100,91468000
2020-08-03,308151200,78983000,412720000,132139500,101494000,23124900,45482000
2020-08-04,173071600,49280100,310336000,126225000,93886000,17183500,37212000
2020-08-05,121776800,28806400,249924000,74217000,78330000,13050100,29134000
2020-08-06,202428800,32656800,244316000,89884500,78812000,45241600,33306000
2020-08-07,198045600,27820400,342516000,133446000,78722000,72766400,27718000
2020-08-10,212403600,36716500,427796000,112834500,63346000,30248800,20546000
2020-08-11,187902400,36446500,354512000,129387000,74362000,28238300,31098000
2020-08-12,165598000,28013100,464412000,327441000,70442000,21415700,22512000
2020-08-13,210082000,22588900,374460000,306379500,62980000,17374000,22388000
2020-08-14,165565200,17958900,366436000,188664000,55034000,14792700,21942000
2020-08-17,119561600,20184800,621300000,303634500,53824000,13351100,19990000
2020-08-18,105633600,21336200,503448000,247117500,106920000,18690400,28378000
2020-08-19,145538000,27627600,622624000,183079500,83702000,23291500,30472000
2020-08-20,126907200,26981500,921388000,309177000,66650000,20299700,26382000
2020-08-21,338054800,36249300,999868000,322344000,71518000,15538600,34838000
2020-08-24,345937600,25460100,490564000,300954000,93326000,23685600,25638000
2020-08-25,211495600,23043700,289076000,159883500,79856000,42127200,25150000
2020-08-26,163022400,39600800,321244000,213591000,130174000,69015200,52188000
2020-08-27,155552400,57602200,317604000,355395000,85296000,30301300,31350000
2020-08-28,187630000,26292900,537160000,301218000,57940000,17157400,22418000
2020-08-31,225702700,28774200,500840000,355123200,83718000,17345100,26422000
2020-09-01,151948100,25725500,511316000,269523300,68644000,17295900,22652000
2020-09-02,200119000,34080800,874012000,288528300,78630000,24341400,49522000
2020-09-03,257599600,58400300,945128000,262788300,163222000,32294100,63726000
2020-09-04,332607200,59664100,1463684000,330965700,175636000,30333700,55850000
2020-09-08,231366600,52924300,795728000,346397100,121884000,24864000,54032000
2020-09-09,176940500,45679000,736200000,238397400,103774000,22918800,39242000
2020-09-10,182274400,35461500,698684000,254791800,106614000,24814700,33024000
2020-09-11,180860300,33620100,636928000,182152500,101880000,18913900,30706000
2020-09-14,140150100,30375800,1201744000,249061800,90592000,24093800,42660000
2020-09-15,184642000,21823900,727556000,291894600,80430000,18478500,23042000
2020-09-16,154679000,26328100,556384000,216837900,90244000,29183400,22128000
2020-09-17,178011000,34011300,792512000,230337600,128982000,31281400,40008000
2020-09-18,287104900,55225300,698460000,259220400,177852000,28130800,63056000
2020-09-21,195713800,39839700,721044000,328430400,122358000,24709400,56908000
2020-09-22,183055400,33517100,646452000,238742400,138976000,30293100,33950000
2020-09-23,150718700,30803800,647012000,285222600,113054000,19641300,37726000
2020-09-24,167743300,31202500,731240000,289683300,110588000,20006800,34552000
2020-09-25,149981400,29437300,588016000,201625500,92304000,18351300,30326000
2020-09-28,137672400,32004900,573808000,149158800,84484000,18826300,30784000
2020-09-29,99382200,24221900,621460000,150657900,69916000,20200200,31816000
2020-09-30,142675200,33829100,689184000,144436800,97922000,20142500,40924000
2020-10-01,116120400,27158400,525004000,152224500,99438000,20009800,32884000
2020-10-02,144712000,33154800,552496000,214290000,112262000,16367600,31222000
2020-10-05,106243800,21331600,479820000,134168400,75506000,12822300,21602000
2020-10-06,161498200,28554300,784420000,147438900,101738000,18696900,26096000
2020-10-07,96849000,25681100,418084000,129383100,86188000,23133400,36108000
2020-10-08,83477200,19925800,378900000,121263300,63482000,16312800,26076000
2020-10-09,100506900,26458000,346892000,86777100,98158000,14107800,32966000
2020-10-12,240226800,40461400,434744000,116373300,167284000,31019300,55344000
2020-10-13,262330500,28950800,344604000,103391100,114894000,18063300,39072000
2020-10-14,150712000,23421700,276100000,143639100,116254000,15577800,33174000
2020-10-15,112559200,22733100,267224000,107017200,104468000,15416100,31210000
2020-10-16,115393800,26057900,242392000,98327700,129488000,16622700,34194000
2020-10-19,120639300,27625800,298068000,108863400,104472000,13587000,29734000
2020-10-20,124423700,22753500,229212000,94968900,90194000,18763200,41670000
2020-10-21,89946000,22724900,219596000,97111500,91854000,28998600,60322000
2020-10-22,101988000,22351500,290480000,119979600,84240000,16720000,30512000
2020-10-23,82572600,18879600,233484000,101151000,69334000,17535200,30548000
2020-10-26,111850700,37111600,336896000,84717600,118024000,21322900,35826000
2020-10-27,92276800,36700300,250520000,68059500,85820000,16287200,25902000
2020-10-28,143937800,51195600,376520000,76354200,111766000,23121800,45174000
2020-10-29,146129200,31432600,320080000,67965900,131930000,32368100,55406000
2020-10-30,190272600,36953700,416820000,127533900,167728000,47247800,99878000
2020-11-02,122866900,30842200,299652000,87063300,145148000,27165700,44228000
2020-11-03,107624400,27512000,272900000,103055100,97958000,17961900,31432000
2020-11-04,138235500,42311800,410228000,96429300,136780000,35364400,71342000
2020-11-05,126387100,36080100,319028000,85243500,115786000,23823600,39758000
2020-11-06,114457900,25231900,383348000,65118000,92946000,13891000,28622000
2020-11-09,154515300,44395000,582976000,104499000,143808000,25117700,53440000
2020-11-10,138023400,44045100,644068000,90852600,131820000,29067700,43022000
2020-11-11,112295000,29440800,404744000,52073100,87338000,14957000,31838000
2020-11-12,103162300,21593900,365812000,59565300,87240000,12899500,26474000
2020-11-13,81581900,18621100,346312000,59313300,75124000,10391200,29744000
2020-11-16,91183000,24953300,413776000,80515800,76174000,12970400,25468000
2020-11-17,74271000,24154100,312028000,183564900,68894000,15040300,21314000
2020-11-18,76322100,28372800,510924000,234132000,58336000,12152900,20108000
2020-11-19,74113000,24792700,565936000,187425900,60206000,12963700,20106000
2020-11-20,73604300,22843100,341088000,98735700,67488000,18114700,27694000
2020-11-23,127959300,25683500,361356000,150780900,94178000,20990800,22530000
2020-11-24,113874200,33979700,346500000,160945500,72042000,16930400,27984000
2020-11-25,76499200,21012900,259916000,146790600,75808000,12467000,19600000
2020-11-27,46691300,14512200,167276000,112683300,47858000,7808400,14790000
2020-11-30,169410200,33064800,286952000,189009300,81278000,16693300,32418000
2020-12-01,127728200,30904500,296948000,120310500,90740000,20738900,37350000
2020-12-02,89004200,23724500,283360000,143327100,62586000,17361600,29424000
2020-12-03,78967600,25120900,199520000,127656000,57840000,12921700,24728000
2020-12-04,78260400,24666000,202244000,88203900,58272000,10880300,20544000
2020-12-07,86712000,24620000,223244000,168929100,55026000,13007700,22288000
2020-12-08,82225500,23284100,271920000,192795000,65726000,10747700,19936000
2020-12-09,115089200,32440600,401300000,213873600,82016000,25189700,31728000
2020-12-10,81312200,26733300,207764000,201249600,60604000,20065100,28688000
2020-12-11,86939800,30979400,209264000,139425000,61294000,14391400,18628000
2020-12-14,79184500,28798400,270156000,156121800,83116000,16376900,33050000
2020-12-15,157243700,27000600,193016000,135214500,66390000,23979500,21352000
2020-12-16,98208600,35023300,223116000,126287400,88552000,15885000,24676000
2020-12-17,94359800,32515800,231384000,168810300,69486000,16377800,34880000
2020-12-18,192541500,63354900,342064000,666378600,119914000,26693200,85256000
2020-12-21,121251600,37181900,302332000,174135900,76736000,16553700,33974000
2020-12-22,168904800,22612200,185580000,155148000,47388000,17312900,20370000
2020-12-23,88223700,18699600,179144000,99519000,41876000,14329000,22974000
2020-12-24,54930100,10550600,97884000,68596800,29038000,6702000,9312000
2020-12-28,124486200,17933500,212564000,96835800,113736000,23299700,27650000
2020-12-29,121047300,17403200,170372000,68732400,97458000,16383000,19726000
2020-12-30,96452100,20272300,225396000,128538000,64186000,11803800,21026000
2020-12-31,99116600,20942100,192424000,148949700,59144000,12900400,21070000
2021-01-04,143301900,37130100,560640000,145914600,88228000,15106100,37324000
2021-01-05,97664900,23823000,322760000,96735600,53110000,9871600,20360000
2021-01-06,155088000,35930700,580424000,134100000,87896000,24354100,46588000
2021-01-07,109578200,27694500,461480000,154496700,70290000,15789800,41936000
2021-01-08,105158200,22956200,292528000,225166500,70754000,18528300,35484000
2021-01-11,100384500,23031300,518344000,177904800,73668000,30412300,34796000
2021-01-12,91951100,23249300,291476000,138812100,70292000,26383500,29528000
2021-01-13,88636800,20087100,210028000,99937500,66424000,19528900,23432000
2021-01-14,90221800,29480800,283120000,93798900,61418000,29739400,29212000
2021-01-15,111598500,31746500,277780000,116332800,84880000,24942900,31444000
2021-01-19,90757300,30480900,226188000,76101000,66102000,28028500,41660000
2021-01-20,104319500,37777300,258572000,76997700,106196000,25199900,64152000
2021-01-21,120150900,30709400,337780000,61563300,98722000,20838700,58634000
2021-01-22,114459400,30172700,246820000,60199500,56438000,21954000,32744000
2021-01-25,157611700,33152100,251112000,123520200,74996000,19087000,50586000
2021-01-26,98390600,49169600,163980000,69394800,59104000,19373600,31462000
2021-01-27,140843800,69870600,371272000,82002000,93204000,35346200,82512000
2021-01-28,142621100,49111200,228316000,79134000,62984000,37758800,55278000
2021-01-29,177523800,42503100,271552000,104972400,85872000,30389500,44530000
2021-02-01,106239800,33314200,217204000,76174200,83204000,22914300,40252000
2021-02-02,83305400,25916300,220440000,73038600,141972000,17320800,66332000
2021-02-03,89880900,27158100,245408000,55030500,141776000,14223400,97882000
2021-02-04,84183100,25296100,201340000,47438100,73414000,16060000,48596000
2021-02-05,75693800,18054800,169152000,55699800,72416000,12454400,29866000
2021-02-08,71297200,22211900,434624000,60485100,65148000,13755200,28828000
2021-02-09,76774200,23565000,287560000,45473100,44070000,14613400,21892000
2021-02-10,73046600,22186700,485352000,108648300,63032000,14687200,25102000
2021-02-11,64280000,15751100,450828000,64868400,46028000,12828600,20480000
2021-02-12,60145100,16561100,374756000,71304900,46706000,9097600,18990000
2021-02-16,80576300,26728500,321960000,59406900,51494000,15417200,31004000
2021-02-17,97918500,21653500,274756000,77989500,65950000,12763200,20294000
2021-02-18,96856700,16925600,233868000,53871300,60548000,15249100,22546000
2021-02-19,87668800,25262600,271724000,56874900,86104000,25622600,37938000
2021-02-22,103916400,36446900,325884000,111809100,70314000,17434900,29466000
2021-02-23,158273000,30228700,391780000,199820700,93544000,21924600,34658000
2021-02-24,111039900,26339700,448320000,110301000,60226000,15736100,22608000
2021-02-25,148199500,39542200,824436000,117071700,90676000,19053100,41548000
