,AAPL,MSFT,NVDA,TSLA,AMZN,META,GOOGL
2018-05-11,104848800,16778300,1214456000,70194000,45278000,21207800,30504000
2018-05-14,83115200,19454100,523140000,109302000,50190000,15646700,39338000
2018-05-15,94780800,24594000,963528000,142788000,101550000,15429400,35738000
2018-05-16,76732400,17384700,553828000,85110000,51412000,16975500,25628000
2018-05-17,69176000,17246700,519784000,66309000,42952000,14840700,25738000
2018-05-18,73190800,17865800,483716000,108778500,52852000,13130500,35482000
2018-05-21,73603200,19422500,640624000,137739000,58504000,13532900,25180000
2018-05-22,60962800,15441200,518264000,134187000,42312000,12731400,22226000
2018-05-23,80233600,21251200,442956000,89776500,67238000,16628100,23740000
2018-05-24,92936000,26649300,437372000,62650500,68600000,12354700,20604000
2018-05-25,69844000,18363900,292112000,58126500,53968000,10965100,22224000
2018-05-29,90056400,28671000,352684000,84999000,76930000,16398900,36076000
2018-05-30,74762000,22158500,390996000,112345500,58148000,13736900,28686000
2018-05-31,109931200,34140900,493868000,88795500,63326000,30782600,79368000
2018-06-01,93770000,28655600,421968000,81366000,66268000,17307200,63202000
2018-06-04,105064800,27281600,642024000,71967000,63754000,18939800,44754000
2018-06-05,86264000,23514400,391712000,89928000,95644000,15544300,32964000
2018-06-06,83734400,21122900,371356000,281509500,109464000,22558900,34934000
2018-06-07,85388800,28232200,369448000,215179500,75314000,21503200,36108000
2018-06-08,106627200,22165100,360456000,123078000,59102000,12677100,27284000
2018-06-11,73234000,23490900,265372000,197752500,46710000,12928900,24796000
2018-06-12,67644400,18325200,319160000,335211000,45184000,11562700,26092000
2018-06-13,86553600,29492900,338208000,142047000,66550000,15853800,34302000
2018-06-14,86440400,25691800,430016000,164715000,63488000,19120900,35422000
2018-06-15,246876800,65738600,432260000,162724500,95552000,21860900,44438000
2018-06-18,73939600,23586000,356268000,181098000,62154000,16826000,33038000
2018-06-19,134314000,28653100,594932000,191428500,85802000,19994000,47282000
2018-06-20,82514800,26180800,369780000,125755500,86652000,28230900,51686000
2018-06-21,102847600,23198200,359516000,119506500,98822000,19045700,44966000
2018-06-22,108801600,38923100,434160000,153991500,81502000,17420200,34220000
2018-06-25,126652400,35433300,665816000,103969500,150224000,25275100,57682000
2018-06-26,98276800,26897200,478884000,111787500,87732000,17897600,34688000
2018-06-27,101141200,31298400,453892000,125005500,97444000,18734400,34538000
2018-06-28,69460800,26650700,338012000,125970000,90594000,18172400,29726000
2018-06-29,90950800,28053200,392300000,97386000,90870000,15811600,31562000
2018-07-02,70925200,19564500,357572000,281397000,63714000,13961600,23216000
2018-07-03,55819200,14670300,222732000,184239000,43546000,13489500,16448000
2018-07-05,66416800,18977400,306216000,262146000,59662000,19684200,28594000
2018-07-06,69940800,19234600,296352000,132982500,53006000,19740100,21820000
2018-07-09,79026400,18212000,303880000,113952000,60240000,18149400,21584000
2018-07-10,63756400,19293100,360016000,142072500,60058000,13190100,21334000
2018-07-11,75326000,19644600,367508000,73261500,64196000,12927400,33252000
2018-07-12,72164400,24335900,345508000,85818000,90654000,15454700,44148000
2018-07-13,50055600,24635200,246988000,88047000,87664000,11486800,32612000
2018-07-16,60172400,21786900,197036000,117280500,109324000,11078200,26784000
2018-07-17,62138000,25901700,362136000,104943000,113658000,15349900,40162000
2018-07-18,65573600,29493900,277640000,84363000,97238000,15334900,38948000
2018-07-19,81147200,40171600,235752000,88729500,93538000,11350400,38338000
2018-07-20,82704800,56004000,222352000,77433000,77688000,16163900,37938000
2018-07-23,63957600,29707000,301584000,164893500,77770000,16732000,65446000
2018-07-24,74791600,26316600,354620000,143862000,85574000,28468700,107600000
2018-07-25,66839600,30702100,319112000,106131000,74764000,58954200,51104000
2018-07-26,76304000,31372100,325124000,69457500,198488000,169803700,54686000
2018-07-27,96096000,37005300,295420000,85549500,193620000,60073700,48362000
2018-07-30,84118000,34668300,340340000,102211500,131246000,65280800,43896000
2018-07-31,157492000,27655200,283988000,76153500,114774000,40356500,39382000
2018-08-01,271742800,23628700,283556000,151941000,83062000,34042100,36994000
2018-08-02,249616000,26104300,269668000,348225000,87094000,32400000,34704000
2018-08-03,133789600,18659600,214288000,204847500,69210000,24763400,21264000
2018-08-06,101701600,20265900,207508000,128464500,67836000,49716200,22114000
2018-08-07,102349600,16080200,258132000,463137000,67550000,33398600,42506000
2018-08-08,90102000,15487500,262100000,368568000,79260000,22205200,34344000
2018-08-09,93970400,13677200,204280000,257757000,97208000,19732100,27326000
2018-08-10,98444800,18183700,256396000,173280000,72798000,21500400,26602000
2018-08-13,103563600,18472500,375208000,156958500,110630000,17423300,27500000
2018-08-14,82992000,16788300,466220000,104796000,79722000,19102000,28080000
2018-08-15,115230400,29982800,591136000,136519500,154014000,33020200,37052000
2018-08-16,114001600,21384300,801260000,90960000,79142000,31351800,32176000
2018-08-17,141708000,18061500,1143188000,284379000,82086000,24893200,33092000
2018-08-20,121150800,17914200,854388000,261034500,57240000,21518000,22218000
2018-08-21,104639200,22881900,673988000,197583000,62112000,19578500,23082000
2018-08-22,76072400,18000600,749856000,89190000,61610000,16894100,22296000
2018-08-23,75532800,18167700,720684000,77209500,71260000,18053600,24666000
2018-08-24,73905600,17234000,531512000,54039000,56018000,14631600,24454000
2018-08-27,82100400,19662300,505776000,196189500,71380000,17921900,28580000
2018-08-28,91107200,19151500,475384000,114736500,62014000,15910700,27330000
2018-08-29,109019200,20818000,420108000,111711000,130636000,18494100,36926000
2018-08-30,195175200,22798700,346608000,108250500,145546000,24216500,30104000
2018-08-31,173360400,23222700,306592000,80626500,84088000,18065200,42308000
2018-09-04,109560400,22634600,391720000,125257500,114422000,29809000,41458000
2018-09-05,133332000,32872400,393156000,115812000,164412000,31226700,53988000
2018-09-06,137160000,23477600,322796000,112212000,149774000,41514800,46854000
2018-09-07,150479200,22498600,295420000,337378500,97852000,24300600,32658000
2018-09-10,158066000,20727900,220140000,214252500,90896000,20197700,27670000
2018-09-11,142996000,24301800,243112000,137550000,100672000,20457100,29254000
2018-09-12,197114800,18891100,419092000,150231000,88280000,24078100,35716000
2018-09-13,166825600,26055600,305536000,95104500,72430000,25453800,40068000
2018-09-14,127997200,19122300,386936000,101484000,72840000,21770400,24176000
2018-09-17,148780400,20736500,205528000,103314000,141004000,21005300,34096000
2018-09-18,126286800,22170900,299520000,248212500,85374000,22465200,32314000
2018-09-19,108495200,21728400,224860000,124423500,81136000,19629000,25962000
2018-09-20,106435200,23714500,430584000,110241000,63098000,18936000,29244000
2018-09-21,384986800,71229700,435128000,75757500,137118000,45994800,91222000
2018-09-24,110773600,27334500,293912000,72645000,84274000,19222800,31150000
2018-09-25,98217600,22668000,280388000,67225500,90768000,27622800,33152000
2018-09-26,95938800,19352000,268548000,117648000,86270000,25252200,37650000
2018-09-27,120724800,19091300,214428000,127636500,86588000,27266900,36274000
2018-09-28,91717600,21647800,709396000,504745500,81702000,34265600,35612000
2018-10-01,94403200,18883100,622060000,326664000,69210000,26407700,33164000
2018-10-02,99152800,20787200,383964000,176152500,108014000,36031000,40180000
2018-10-03,114619200,16648000,320552000,119925000,105062000,23109500,26246000
2018-10-04,128168000,34821700,391220000,147213000,145140000,25739600,46576000
2018-10-05,134322000,29068900,426636000,269167500,136446000,25744000,31852000
2018-10-08,118655600,29640600,408612000,202090500,147864000,24046000,46190000
2018-10-09,107564000,26198600,273500000,180909000,95458000,18844400,33690000
2018-10-10,167962400,61376300,684940000,192229500,219778000,30610000,58980000
2018-10-11,212497600,63904300,725436000,122515500,278718000,35338900,67696000
2018-10-12,161351600,47742100,608236000,108021000,188892000,25293500,49370000
2018-10-15,123164000,32068100,449760000,93000000,128744000,15433500,30074000
2018-10-16,116736000,31610200,408712000,142896000,117198000,19180100,38378000
2018-10-17,91541600,26548200,329668000,129832500,105904000,17592000,35652000
2018-10-18,130325200,32506200,524020000,81318000,117480000,21675100,46152000
2018-10-19,132314800,32785500,613608000,140632500,118144000,19761300,41286000
2018-10-22,115168400,26545600,368844000,84004500,90000000,15424700,27116000
2018-10-23,155071200,43770400,626436000,285417000,134478000,19095000,37686000
2018-10-24,163702000,63897800,884288000,300874500,138568000,27744600,49286000
2018-10-25,119423200,61646800,951720000,312610500,205714000,22105700,72956000
2018-10-26,189033600,55523100,664784000,411382500,299276000,31303300,106438000
2018-10-29,183742000,55162000,758016000,217290000,277322000,31336800,81290000
2018-10-30,146640000,65350900,807192000,136900500,249202000,50528300,59768000
2018-10-31,153435600,51062400,745772000,114364500,187804000,60101300,70916000
2018-11-01,233292800,33384200,566528000,120001500,162710000,25640800,40132000
2018-11-02,365314800,37680200,452960000,117120000,139110000,24708700,43438000
2018-11-05,264654800,27922100,379332000,117465000,112494000,15971200,45358000
2018-11-06,127531600,24340200,299012000,101443500,85148000,16667100,28660000
2018-11-07,133697600,37901700,483812000,110617500,163844000,21877400,43388000
2018-11-08,101450400,25644100,511352000,106360500,130698000,24145800,33694000
2018-11-09,137463200,32039200,413240000,76482000,118044000,17326900,34860000
2018-11-12,204542000,33621800,617116000,104122500,136124000,18542100,34002000
2018-11-13,187531600,35374600,644712000,81729000,118666000,15141700,25750000
2018-11-14,243204000,39495100,526580000,75604500,129738000,22068400,34666000
2018-11-15,185915200,38505200,840708000,69385500,168546000,30320300,41584000
2018-11-16,147713200,33502100,1963520000,108093000,121322000,37250600,35366000
2018-11-19,167701200,44773900,1697820000,145633500,155800000,44362700,45684000
2018-11-20,271300800,64052500,1692032000,120070500,217576000,41939500,54458000
2018-11-21,124496800,28130600,1025496000,70302000,114336000,25469700,29698000
2018-11-23,94496000,13823100,411968000,63039000,54152000,11886100,14178000
2018-11-26,179994000,32336200,814832000,119881500,125154000,24263600,31558000
2018-11-27,165549600,29124500,738060000,95374500,115664000,20750300,33048000
2018-11-28,184250000,46788500,804524000,61914000,169174000,29847500,46042000
2018-11-29,167080000,28123200,549172000,46210500,132264000,24238700,31004000
2018-11-30,158126000,33665600,729564000,84436500,115236000,25732600,59668000
2018-12-03,163210000,34732800,890804000,124597500,137246000,24819200,57532000
2018-12-04,165377200,45197000,812112000,126928500,173890000,30307400,45630000
2018-12-06,172393600,49107400,692308000,117637500,175788000,28218100,47436000
2018-12-07,169126400,45044900,681676000,172668000,151522000,21195500,42682000
2018-12-10,248104000,40801500,629472000,99202500,149896000,26422200,33652000
2018-12-11,189126800,42381900,671912000,94632000,124894000,20300300,33852000
2018-12-12,142510800,36183000,654136000,75405000,131960000,23696900,28960000
2018-12-13,127594400,31333400,471384000,110488500,105426000,18148600,24986000
2018-12-14,162814800,47043100,471820000,95064000,127344000,21785800,36358000
2018-12-17,177151600,56957300,662868000,115110000,176596000,24334000,49932000
2018-12-18,135366000,49319200,564372000,106500000,130460000,24709100,43640000
2018-12-19,196189200,68198200,745364000,124113000,175844000,57404900,58264000
2018-12-20,259092000,70334200,749588000,136078500,199836000,40297900,53674000
2018-12-21,382978400,111242100,863740000,120252000,272806000,56901500,104656000
2018-12-24,148676800,43935200,463840000,83398500,144400000,22066000,36360000
2018-12-26,234330000,51634800,695100000,122446500,208236000,39723400,46318000
2018-12-27,212468400,49498500,637044000,128626500,194440000,31202500,45996000
2018-12-28,169165600,38196300,628728000,149085000,176580000,22627600,34398000
2018-12-31,140014000,33173800,465140000,94534500,139090000,24625300,33110000
2019-01-02,148158800,35329300,508752000,174879000,159662000,28146200,31868000
2019-01-03,365248800,42579100,705552000,104478000,139512000,22717900,41960000
2019-01-04,234428400,44060600,585620000,110911500,183652000,29002100,46022000
2019-01-07,219111200,35656100,709160000,113268000,159864000,20089300,47446000
2019-01-08,164101200,31514400,786016000,105127500,177628000,26263800,35414000
2019-01-09,180396400,32280800,617260000,81493500,126976000,22205900,26998000
2019-01-10,143122800,30067600,523156000,90846000,130154000,16125000,26598000
2019-01-11,108092800,28314200,874764000,75586500,93724000,12908000,30864000
2019-01-14,129756800,28437100,730168000,78709500,120118000,20520300,28490000
2019-01-15,114843600,31587600,617012000,90849000,119970000,24069000,37518000
2019-01-16,122278800,29853900,470104000,70375500,127338000,18025700,38280000
